CPT_code,CodeDescription,Code_Category
0495U,Onc prst8 alys crcg plsm prt,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0496U,Onc clrct cfdna 8/7 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0497U,Onc prst8 mrna rt-pcr 6genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0498U,Onc clrct ngs mut detc 43gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0499U,Onc clrct&lng dna ngs 8genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0500U,Autoinflam ds vexas synd dna,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0501U,Onc clrc bld quan meas cfdna,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0502U,Hpv e6/e7 mrk hirsk typ crv,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0503U,Neuro alz ds βamyl&tau prtn,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0504U,Nfct ds uti id 17 path orgs,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0505U,Nfct ds vag infctj id 32orgs,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0506U,Gi barretts esophgl cell 89,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0507U,Onc ovr dna whole gen w/5hmc,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0508U,Trnsplj med ddcfdna 40 snps,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0509U,Trnsplj med ddcfdna<12 snps,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0510U,Onc pncrtc ca alg alys 16gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0511U,Onc sol tum 3dmicroenvir 36+,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0512U,Onc prst8 alys dgtz img msi,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0513U,Onc prst8 alg alys msi&hrd,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0514U,Gi ibd ia quan deter adl lvl,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0515U,Gi ibd ia quan deter ifx lvl,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0516U,Rx metab rxgenomic gnotyp 40,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0517U,Ther rx mntr 80+ psyactiv rx,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0518U,Ther rx mntr 90+ pn&mtl hlth,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0519U,Ther rx mntr meds p/d/a 110+,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0520U,Ther rx mntr 200+ rx/sbsts,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0521U,Rf iga&igm ccp antb sr-a ia,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0522U,Ca vi psp&sp1 antb cl semiql,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0523U,Onc soltum dna ngs snv 22gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0524U,Ob pe sflt-1/plgf ia srm/pls,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0525U,Onc sphrd cell cul 11-rx pnl,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0526U,Nefro rnl trnspl quan cxcl10,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0527U,Hsv 1&2 vzv amp prb tq pthgn,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0528U,Lrt iad 18bct/8vir&7arg rna,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0529U,Hem vte snp f2&f5 gen leiden,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0530U,Onc pan-sol tum ctdna 77 gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
36415,Routine venipuncture,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
78110,Plasma volume single,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
78111,Plasma volume multiple,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
78120,Red cell mass single,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
78121,Red cell mass multiple,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
78122,Blood volume,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
78130,Red cell survival study,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
78191,Platelet survival,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
78267,Breath tst attain/anal c-14,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
78268,Breath test analysis c-14,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
78725,Kidney function study,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0027,Semen analysis,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0103,Psa screening,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0123,Screen cerv/vag thin layer,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0124,Screen c/v thin layer by MD,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0141,"Scr c/v cyto,autosys and md",CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0143,"Scr c/v cyto,thinlayer,rescr",CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0144,"Scr c/v cyto,thinlayer,rescr",CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0145,"Scr c/v cyto,thinlayer,rescr",CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0147,"Scr c/v cyto, automated sys",CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0148,"Scr c/v cyto, autosys, rescr",CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0306,CBC/diffwbc w/o platelet,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0307,Cbc without platelet,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0327,Colon ca scrn;bld-bsd bimrk,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0328,Fecal blood scrn immunoassay,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0416,"Prostate biopsy, any mthd",CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0432,Eia hiv-1/hiv-2 screen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0433,Elisa hiv-1/hiv-2 screen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0435,Oral hiv-1/hiv-2 screen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0475,Hiv combination assay,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0476,Hpv combo assay ca screen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0480,Drug test def 1-7 classes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0481,Drug test def 8-14 classes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0482,Drug test def 15-21 classes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0483,Drug test def 22+ classes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G0499,HepB screen high risk indiv,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
G9143,Warfarin respon genetic test,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
P2028,Cephalin floculation test,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
P2029,Congo red blood test,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
P2033,Blood thymol turbidity,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
P2038,Blood mucoprotein,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
P3000,Screen pap by tech w md supv,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
P3001,Screening pap smear by phys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
P9612,Catheterize for urine spec,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
P9615,Urine specimen collect mult,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
Q0111,Wet mounts/ w preparations,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
Q0112,Potassium hydroxide preps,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
Q0113,Pinworm examinations,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
Q0114,Fern test,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
Q0115,Post-coital mucous exam,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
U0001,2019-ncov diagnostic p,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
U0002,Covid-19 lab test non-cdc,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
90901,Biofeedback train any meth,physical therapy/occupational therapy/outpatient speech-language pathology services
90912,Bfb training 1st 15 min,physical therapy/occupational therapy/outpatient speech-language pathology services
90913,Bfb training ea addl 15 min,physical therapy/occupational therapy/outpatient speech-language pathology services
92507,Speech/hearing therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
92508,Speech/hearing therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
92520,Laryngeal function studies,physical therapy/occupational therapy/outpatient speech-language pathology services
92521,Evaluation of speech fluency,physical therapy/occupational therapy/outpatient speech-language pathology services
92522,Evaluate speech production,physical therapy/occupational therapy/outpatient speech-language pathology services
92523,Speech sound lang comprehen,physical therapy/occupational therapy/outpatient speech-language pathology services
92524,Behavral qualit analys voice,physical therapy/occupational therapy/outpatient speech-language pathology services
92526,Oral function therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
92597,Oral speech device eval,physical therapy/occupational therapy/outpatient speech-language pathology services
92607,Ex for speech device rx 1hr,physical therapy/occupational therapy/outpatient speech-language pathology services
92608,Ex for speech device rx addl,physical therapy/occupational therapy/outpatient speech-language pathology services
92609,Use of speech device service,physical therapy/occupational therapy/outpatient speech-language pathology services
92610,Evaluate swallowing function,physical therapy/occupational therapy/outpatient speech-language pathology services
92611,Motion fluoroscopy/swallow,physical therapy/occupational therapy/outpatient speech-language pathology services
92612,Endoscopy swallow tst (fees),physical therapy/occupational therapy/outpatient speech-language pathology services
92614,Laryngoscopic sensory test,physical therapy/occupational therapy/outpatient speech-language pathology services
92616,Fees w/laryngeal sense test,physical therapy/occupational therapy/outpatient speech-language pathology services
93797,Cardiac rehab,physical therapy/occupational therapy/outpatient speech-language pathology services
93798,Cardiac rehab/monitor,physical therapy/occupational therapy/outpatient speech-language pathology services
95851,Range of motion measurements,physical therapy/occupational therapy/outpatient speech-language pathology services
95852,Range of motion measurements,physical therapy/occupational therapy/outpatient speech-language pathology services
95992,Canalith repositioning proc,physical therapy/occupational therapy/outpatient speech-language pathology services
96000,Motion analysis video/3d,physical therapy/occupational therapy/outpatient speech-language pathology services
96001,Motion test w/ft press meas,physical therapy/occupational therapy/outpatient speech-language pathology services
96002,Dynamic surface emg,physical therapy/occupational therapy/outpatient speech-language pathology services
96105,Assessment of aphasia,physical therapy/occupational therapy/outpatient speech-language pathology services
96125,Cognitive test by HC pro,physical therapy/occupational therapy/outpatient speech-language pathology services
97010,Hot or cold packs therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
97012,Mechanical traction therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
97016,Vasopneumatic device therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
97018,Paraffin bath therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
97022,Whirlpool therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
97024,Diathermy eg microwave,physical therapy/occupational therapy/outpatient speech-language pathology services
97026,Infrared therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
97028,Ultraviolet therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
97032,Electrical stimulation,physical therapy/occupational therapy/outpatient speech-language pathology services
97033,Electric current therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
97034,Contrast bath therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
97035,Ultrasound therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
97036,Hydrotherapy,physical therapy/occupational therapy/outpatient speech-language pathology services
97039,Physical therapy treatment,physical therapy/occupational therapy/outpatient speech-language pathology services
97110,Therapeutic exercises,physical therapy/occupational therapy/outpatient speech-language pathology services
97112,Neuromuscular reeducation,physical therapy/occupational therapy/outpatient speech-language pathology services
97113,Aquatic therapy/exercises,physical therapy/occupational therapy/outpatient speech-language pathology services
97116,Gait training therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
97124,Massage therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
97129,Ther ivntj 1st 15 min,physical therapy/occupational therapy/outpatient speech-language pathology services
97130,Ther ivntj ea addl 15 min,physical therapy/occupational therapy/outpatient speech-language pathology services
97139,Physical medicine procedure,physical therapy/occupational therapy/outpatient speech-language pathology services
97140,Manual therapy,physical therapy/occupational therapy/outpatient speech-language pathology services
97150,Group therapeutic procedures,physical therapy/occupational therapy/outpatient speech-language pathology services
97161,Pt eval low complex 20 min,physical therapy/occupational therapy/outpatient speech-language pathology services
97162,Pt eval mod complex 30 min,physical therapy/occupational therapy/outpatient speech-language pathology services
97163,Pt eval high complex 45 min,physical therapy/occupational therapy/outpatient speech-language pathology services
97164,Pt re-eval est plan care,physical therapy/occupational therapy/outpatient speech-language pathology services
97165,Ot eval low complex 30 min,physical therapy/occupational therapy/outpatient speech-language pathology services
97166,Ot eval mod complex 45 min,physical therapy/occupational therapy/outpatient speech-language pathology services
97167,Ot eval high complex 60 min,physical therapy/occupational therapy/outpatient speech-language pathology services
97168,Ot re-eval est plan care,physical therapy/occupational therapy/outpatient speech-language pathology services
97530,Therapeutic activities,physical therapy/occupational therapy/outpatient speech-language pathology services
97533,Sensory integration,physical therapy/occupational therapy/outpatient speech-language pathology services
97535,Self care mngment training,physical therapy/occupational therapy/outpatient speech-language pathology services
97537,Community/work reintegration,physical therapy/occupational therapy/outpatient speech-language pathology services
97542,Wheelchair mngment training,physical therapy/occupational therapy/outpatient speech-language pathology services
97545,Work hardening,physical therapy/occupational therapy/outpatient speech-language pathology services
97546,Work hardening add-on,physical therapy/occupational therapy/outpatient speech-language pathology services
97550,Caregiver traing 1st 30 min,physical therapy/occupational therapy/outpatient speech-language pathology services
97551,Caregiver traing ea addl 15,physical therapy/occupational therapy/outpatient speech-language pathology services
97552,Group caregiver training,physical therapy/occupational therapy/outpatient speech-language pathology services
97597,RMVL devital tis 20cm/<,physical therapy/occupational therapy/outpatient speech-language pathology services
97598,RMVL devital tis addl 20 cm<,physical therapy/occupational therapy/outpatient speech-language pathology services
97602,Wound(s) care non-selective,physical therapy/occupational therapy/outpatient speech-language pathology services
97605,Neg press wound tx < 50 cm,physical therapy/occupational therapy/outpatient speech-language pathology services
97606,Neg press wound tx > 50 cm,physical therapy/occupational therapy/outpatient speech-language pathology services
97607,Neg press wnd tx </=50 sq cm,physical therapy/occupational therapy/outpatient speech-language pathology services
97608,Neg press wound tx >50 cm,physical therapy/occupational therapy/outpatient speech-language pathology services
97610,Low frequency non-thermal US,physical therapy/occupational therapy/outpatient speech-language pathology services
97750,Physical performance test,physical therapy/occupational therapy/outpatient speech-language pathology services
97755,Assistive technology assess,physical therapy/occupational therapy/outpatient speech-language pathology services
97760,Orthotic mgmt&trainj 1st enc,physical therapy/occupational therapy/outpatient speech-language pathology services
97761,Prosthetic trainj 1st enc,physical therapy/occupational therapy/outpatient speech-language pathology services
97763,Orth/prostc mgmt sbsq enc,physical therapy/occupational therapy/outpatient speech-language pathology services
97799,Physical medicine procedure,physical therapy/occupational therapy/outpatient speech-language pathology services
98966,Ph1 assmt&mgmt nqhp 5-10,physical therapy/occupational therapy/outpatient speech-language pathology services
98967,Ph1 assmt&mgmt nqhp 11-20,physical therapy/occupational therapy/outpatient speech-language pathology services
98968,Ph1 assmt&mgmt nqhp 21-30,physical therapy/occupational therapy/outpatient speech-language pathology services
98970,Nqhp ol dig assmt&mgmt 5-10,physical therapy/occupational therapy/outpatient speech-language pathology services
98971,Nqhp ol dig assmt&mgmt 11-20,physical therapy/occupational therapy/outpatient speech-language pathology services
98972,Nqhp ol dig assmt&mgmt 21+,physical therapy/occupational therapy/outpatient speech-language pathology services
98975,Rem ther mntr 1st set-up&edu,physical therapy/occupational therapy/outpatient speech-language pathology services
98976,Rem ther mntr dev sply resp,physical therapy/occupational therapy/outpatient speech-language pathology services
98977,Rem ther mntr dv sply mscskl,physical therapy/occupational therapy/outpatient speech-language pathology services
98980,Rem ther mntr 1st 20 min,physical therapy/occupational therapy/outpatient speech-language pathology services
98981,Rem ther mntr ea addl 20 min,physical therapy/occupational therapy/outpatient speech-language pathology services
G0281,Elec stim unattend for press,physical therapy/occupational therapy/outpatient speech-language pathology services
G0283,Elec stim other than wound,physical therapy/occupational therapy/outpatient speech-language pathology services
G0329,Electromagntic tx for ulcers,physical therapy/occupational therapy/outpatient speech-language pathology services
G0451,Development test interp & rep,physical therapy/occupational therapy/outpatient speech-language pathology services
G0541,No pt prsnt train initial 30,physical therapy/occupational therapy/outpatient speech-language pathology services
G0542,No pt prsnt train add 15,physical therapy/occupational therapy/outpatient speech-language pathology services
G0543,Group train w/o patient,physical therapy/occupational therapy/outpatient speech-language pathology services
G2250,"Remot img sub by pt, non e/m",physical therapy/occupational therapy/outpatient speech-language pathology services
G2251,"Brief chkin, 5-10, non-e/m",physical therapy/occupational therapy/outpatient speech-language pathology services
0042T,Ct perfusion w/contrast cbf,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0174T,Cad cxr with interp,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0175T,Cad cxr remote,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0330T,Tear film img uni/bi w/i&r,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0331T,Heart symp image plnr,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0332T,Heart symp image plnr spect,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0422T,Tactile breast img uni/bi,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0558T,Ct scan f/biomchn ct alys,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0633T,Ct breast w/3d uni c-,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0634T,Ct breast w/3d uni c+,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0635T,Ct breast w/3d uni c-/c+,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0636T,Ct breast w/3d bi c-,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0637T,Ct breast w/3d bi c+,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0638T,Ct breast w/3d bi c-/c+,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0721T,Quan ct tiss charac w/o ct,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0722T,Quan ct tiss charac w/ct,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0723T,Qmrcp w/o dx mri sm anat ses,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0724T,Qmrcp w/dx mri same anatomy,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0815T,Us rems b1 dns hips plvs/spi,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0857T,Opto-acoustic img breast uni,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0865T,Quan mri alys brn w/o dx mri,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0866T,Quan mri alys brn w/dx mri,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0877T,Augmnt alys ch ct ild w/o ct,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0878T,Augmnt alys ch ct ild w/ct,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0879T,Augmnt alys ch ct ild prep,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0880T,Augmnt alys ch ct ild i&r,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0889T,Prsnlz trgt dvl arhfcmrigtbs,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0899T,N-invas deter aqmbf aug cmr,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0900T,N-invas est aqmbf asstv cmr,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0932T,N-invs det hrt fail aug echo,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0944T,3d cntr simula trgt lvr les,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0946T,Ortho impl mvmt alys pair ct,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
51798,Us urine capacity measure,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70100,X-ray exam of jaw,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70110,X-ray exam of jaw,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70120,X-ray exam of mastoids,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70130,X-ray exam of mastoids,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70134,X-ray exam of middle ear,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70140,X-ray exam of facial bones,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70150,X-ray exam of facial bones,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70160,X-ray exam of nasal bones,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70190,X-ray exam of eye sockets,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70200,X-ray exam of eye sockets,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70210,X-ray exam of sinuses,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70220,X-ray exam of sinuses,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70240,X-ray exam pituitary saddle,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70250,X-ray exam of skull,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70260,X-ray exam of skull,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70300,X-ray exam of teeth,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70310,X-ray exam of teeth,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70320,Full mouth x-ray of teeth,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70328,X-ray exam of jaw joint,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70330,X-ray exam of jaw joints,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70336,Magnetic image jaw joint,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70350,X-ray head for orthodontia,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70355,Panoramic x-ray of jaws,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70360,X-ray exam of neck,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70370,Throat x-ray & fluoroscopy,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70371,Speech evaluation complex,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70380,X-ray exam of salivary gland,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70450,Ct head/brain w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70460,Ct head/brain w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70470,Ct head/brain w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70480,Ct orbit/ear/fossa w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70481,Ct orbit/ear/fossa w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70482,Ct orbit/ear/fossa w/o&w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70486,Ct maxillofacial w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70487,Ct maxillofacial w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70488,Ct maxillofacial w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70490,Ct soft tissue neck w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70491,Ct soft tissue neck w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70492,Ct sft tsue nck w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70496,Ct angiography head,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70498,Ct angiography neck,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70540,Mri orbit/face/neck w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70542,Mri orbit/face/neck w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70543,Mri orbt/fac/nck w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70544,Mr angiography head w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70545,Mr angiography head w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70546,Mr angiograph head w/o&w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70547,Mr angiography neck w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70548,Mr angiography neck w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70549,Mr angiograph neck w/o&w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70551,Mri brain w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70552,Mri brain w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70553,Mri brain w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70554,Fmri brain by tech,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70555,Fmri brain by phys/psych,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71045,X-ray exam chest 1 view,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71046,X-ray exam chest 2 views,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71047,X-ray exam chest 3 views,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71048,X-ray exam chest 4+ views,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71100,X-ray exam of ribs,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71101,X-ray exam of ribs/chest,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71110,X-ray exam of ribs,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71111,X-ray exam of ribs/chest,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71120,X-ray exam of breastbone,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71130,X-ray exam of breastbone,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71250,Ct thorax dx c-,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71260,Ct thorax dx c+,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71270,Ct thorax dx c-/c+,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71271,Ct thorax lung cancer scr c-,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71275,Ct angiography chest,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71550,Mri chest w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71551,Mri chest w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71552,Mri chest w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71555,Mri angio chest w or w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72020,X-ray exam of spine,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72040,X-ray exam neck spine 3/<vws,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
