PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,MARKETINGCATEGORYNAME,LABELERNAME,SUBSTANCENAME,ACTIVEINGREDIENTSINFO,DEASCHEDULE,NDCPACKAGECODE,PACKAGEDESCRIPTION,REPORTINGPERIOD
73013-1052,HUMAN COMPOUNDED DRUG,Fentanyl Citrate- Ropivacaine HCl,"fentanyl citrate, ropivacaine hydrochloride","INJECTION, SOLUTION",EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),OurPharma LLC,FENTANYL CITRATE; ROPIVACAINE HYDROCHLORIDE,2 ug/1 mL; 2 mg/1 mL,CII,73013-1052-1,150 mL in 1 BAG (73013-1052-1) ,2023-2
71286-2003,HUMAN COMPOUNDED DRUG,Fentanyl Citrate 50mcg/ml,Fentanyl Citrate 50mcg/ml,SOLUTION,EPIDURAL; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",FENTANYL CITRATE,50 ug/1 mL,CII,71286-2003-4,50 mL in 1 BAG (71286-2003-4) ,2023-1
71286-2013,HUMAN COMPOUNDED DRUG,Hydromorphone HCL 0.1mg/ml in D5W,Hydromorphone HCL 0.1mg/ml in D5W,SOLUTION,EPIDURAL; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",HYDROMORPHONE HYDROCHLORIDE,.1 mg/1 mL,CII,71286-2013-1,5 mL in 1 SYRINGE (71286-2013-1) ,2023-1
72055-014,HUMAN COMPOUNDED DRUG,Fentanyl/Ropivacaine,Fentanyl/Ropivacaine,"INJECTION, SOLUTION",EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Baycare Integrated Service Center, LLC /dba BayCare Central Pharmacy",ROPIVACAINE HYDROCHLORIDE; FENTANYL CITRATE,100 mg/100 mL; 200 ug/100 mL,CII,72055-014-01,100 mL in 1 BAG (72055-014-01) ,2023-2
73271-0055,HUMAN COMPOUNDED DRUG,TESTOSTERONE 55 PEL,TESTOSTERONE 55 PEL,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Right Value Drug Stores llc dba Carie Boyd's Prescription Shop,TESTOSTERONE,55 mg,CIII,73271-0055-1,1 PELLET in 1 VIAL (73271-0055-1) ,2022-2
69761-204,HUMAN COMPOUNDED DRUG,Testosterone,Testosterone 200mg,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Qualgen LLC,TESTOSTERONE,200 mg,CIII,69761-204-01,"1 PELLET, IMPLANTABLE in 1 VIAL (69761-204-01) ",2023-2
73693-363,HUMAN COMPOUNDED DRUG,"TESTOSTERONE, TRIAMCINOLONE 12.5MG, 2.5MCG","TESTOSTERONE, TRIAMCINOLONE 12.5MG, 2.5MCG","PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),FARMAKEIO OUTSOURCING LLC,TESTOSTERONE; TRIAMCINOLONE ACETONIDE,12.5 mg; 2.5 ug,CIII,73693-363-01,"1 PELLET, IMPLANTABLE in 1 POUCH (73693-363-01) ",2023-1
71449-090,HUMAN COMPOUNDED DRUG,"Lidocaine Hydrochloride, Phenylephrine Hydrochloride","Lidocaine Hydrochloride, Phenylephrine Hydrochloride","INJECTION, SOLUTION",INTRAOCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Denver Solutions, LLC dba Leiters Health",LIDOCAINE HYDROCHLORIDE; PHENYLEPHRINE HYDROCHLORIDE,10 mg/1 mL; 15 mg/1 mL,,71449-090-42,"10 VIAL, SINGLE-USE in 1 BOX (71449-090-42)  > 1 mL in 1 VIAL, SINGLE-USE",2023-1
72934-1436,HUMAN COMPOUNDED DRUG,Nendrux Gel,221034 LIDOCAINE 5% / SALICYLIC ACID 40%,GEL,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,SALICYLIC ACID; LIDOCAINE,40 g/100 mL; 5 g/100 mL,,72934-1436-2,"30 mL in 1 BOTTLE, PUMP (72934-1436-2) ",2024-1
73177-109,HUMAN COMPOUNDED DRUG,Ropivacaine,Ropivacaine,INJECTION,INFILTRATION,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,ROPIVACAINE HYDROCHLORIDE,2 mg/1 mL,,73177-109-14,745 mL in 1 CONTAINER (73177-109-14) ,2022-2
73198-072,HUMAN COMPOUNDED DRUG,Magnesium Chloride 200mg/ML,Magnesium Chloride 200mg/ML,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,MAGNESIUM CHLORIDE,200 mg/1 mL,,73198-072-30,"30 mL in 1 VIAL, MULTI-DOSE (73198-072-30) ",2023-1
71300-6573,HUMAN COMPOUNDED DRUG,Diclofenac Sodium,Diclofenac Sodium,GEL,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Nubratori Inc.,DICLOFENAC SODIUM,16 mg/1 g,,71300-6573-1,24 PACKET in 1 BOX (71300-6573-1)  > 2.5 g in 1 PACKET (71300-6573-3) ,2023-2
26436-2632,HUMAN COMPOUNDED DRUG,MIC,Methionine Inositol Choline,INJECTION,INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,METHIONINE; INOSITOL; CHOLINE CHLORIDE,25 mg/1 mL; 50 mg/1 mL; 50 mg/1 mL,,26436-2632-3,"30 mL in 1 VIAL, GLASS (26436-2632-3) ",2023-1
26436-5027,HUMAN COMPOUNDED DRUG,Alpha Lipoic acid,Alpha Lipoic acid 25mg/mL,INJECTION,INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,ALPHA LIPOIC ACID,25 mg/1 mL,,26436-5027-2,"20 mL in 1 VIAL, MULTI-DOSE (26436-5027-2) ",2023-2
71285-0428,HUMAN COMPOUNDED DRUG,Trophamine 3% / Dextrose 10% With Calcium Gluconate 2.33mEq and Heparin 125 units 250ml in 250ml bag,Trophamine 3% / Dextrose 10% With Calcium Gluconate 2.33mEq and Heparin 125 units 250ml in 250ml bag,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",GLUTAMIC ACID; LYSINE ACETATE; SERINE; TYROSINE; N-ACETYLTYROSINE; THREONINE; CYSTEINE HYDROCHLORIDE; HISTIDINE; ARGININE; TAURINE; DEXTROSE MONOHYDRATE; ASPARTIC ACID; LEUCINE; METHIONINE; PROLINE; ISOLEUCINE; ALANINE; GLYCINE; PHENYLALANINE; TRYPTOPHAN; VALINE; CALCIUM GLUCONATE MONOHYDRATE; HEPARIN SODIUM,.375 g/250 mL; .9 g/250 mL; .285 g/250 mL; .033 g/250 mL; .18 g/250 mL; .315 g/250 mL; .018 g/250 mL; .36 g/250 mL; .9 g/250 mL; .01875 g/250 mL; 25 g/250 mL; .24 g/250 mL; 1.05 g/250 mL; .255 g/250 mL; .51 g/250 mL; .615 g/250 mL; .405 g/250 mL; .27 g/250 mL; .36 g/250 mL; .15 g/250 mL; .585 g/250 mL; 2.33 meq/250 mL; 125 U/250 mL,,71285-0428-1,250 mL in 1 BAG (71285-0428-1) ,2024-1
72196-0001,HUMAN COMPOUNDED DRUG,Microplegia (MSA/MSG 0.92 Molar) 125ml Bag,Microplegia (MSA/MSG 0.92 Molar) 125ml Bag,SOLUTION,INTRACORONARY,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",ASPARTIC ACID; GLUTAMIC ACID,9.8 g/125 mL; 10.7 g/125 mL,,72196-0001-1,125 mL in 1 BAG (72196-0001-1) ,2023-2
26436-5080,HUMAN COMPOUNDED DRUG,Lysine 100mg/mL,Lysine Hydrochloride 100mg/mL,INJECTION,INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,LYSINE HYDROCHLORIDE,100 mg/1 mL,,26436-5080-3,"30 mL in 1 VIAL, MULTI-DOSE (26436-5080-3) ",2023-1
72934-1331,HUMAN COMPOUNDED DRUG,Onzdeaxiavar Gel,011522 BENZOYL PEROXIDE 5% / CLINDAMYCIN 1% / NIACINAMIDE 2% / TRETINOIN 0.05% Gel,GEL,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE; NIACINAMIDE; TRETINOIN,5 g/100 mL; 1 g/100 mL; 2 g/100 mL; .05 g/100 mL,,72934-1331-2,"30 mL in 1 BOTTLE, PUMP (72934-1331-2) ",2024-1
72934-1396,HUMAN COMPOUNDED DRUG,Dazomon Gel,171010 BRIMONIDINE TARTRATE 0.25%,GEL,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,BRIMONIDINE TARTRATE,.25 g/100 mL,,72934-1396-2,"30 mL in 1 BOTTLE, PUMP (72934-1396-2) ",2024-1
72934-6372,HUMAN COMPOUNDED DRUG,Kexm Emulsion,141011 HYDROQUINONE 6%,EMULSION,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,HYDROQUINONE,6 g/100 mL,,72934-6372-2,"30 mL in 1 BOTTLE, PUMP (72934-6372-2) ",2024-1
61141-4836,HUMAN COMPOUNDED DRUG,"Fentanyl Citrate 2mcg/mL with Bupivacaine HCl 0.1%, 150mL bag","Fentanyl Citrate, Bupivacaine HCl","INJECTION, SOLUTION",EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Medi-Fare Drug,FENTANYL CITRATE; BUPIVACAINE HYDROCHLORIDE,2 ug/1 mL; 1 mg/1 mL,CII,61141-4836-1,150 mL in 1 BAG (61141-4836-1) ,2022-2
26436-6000,HUMAN COMPOUNDED DRUG,SODIUM CHLORIDE,SODIUM CHLORIDE,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,ISOTONIC SODIUM CHLORIDE SOLUTION,9 mg/1 mL,,26436-6000-1,"10 mL in 1 VIAL, GLASS (26436-6000-1) ",2024-1
70092-504,HUMAN COMPOUNDED DRUG,Fent 2 mcg/ml-Ropiv 0.2% PF 100ml NS IVB,Fent 2 mcg/ml-Ropiv 0.2% PF 100ml NS IVB,INJECTION,EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",FENTANYL CITRATE; ROPIVACAINE HYDROCHLORIDE,200 ug/100 mL; 200 mg/100 mL,CII,70092-504-36,100 mL in 1 BAG (70092-504-36) ,2022-2
71286-2082,HUMAN COMPOUNDED DRUG,Fentanyl 2mcg/ml Bupivacaine 0.125% in NS,Fentanyl 2mcg/ml Bupivacaine 0.125% in NS,SOLUTION,EPIDURAL; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",FENTANYL CITRATE,2 ug/1 mL,CII,71286-2082-2,250 mL in 1 BAG (71286-2082-2) ,2023-1
71449-092,HUMAN COMPOUNDED DRUG,"Cyclopentolate Hydrochloride, Tropicamide, Phenylephrine Hydrochloride","Cyclopentolate Hydrochloride, Tropicamide, Phenylephrine Hydrochloride",SOLUTION/ DROPS,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Denver Solutions, LLC dba Leiters Health",CYCLOPENTOLATE HYDROCHLORIDE; TROPICAMIDE; PHENYLEPHRINE HYDROCHLORIDE,10 mg/1 mL; 10 mg/1 mL; 25 mg/1 mL,,71449-092-46,"1 BOTTLE, DROPPER in 1 BAG (71449-092-46)  > 5 mL in 1 BOTTLE, DROPPER",2023-1
71266-8604,HUMAN COMPOUNDED DRUG,Moxifloxacin HCl,Moxifloxacin HCl,INJECTION,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,MOXIFLOXACIN HYDROCHLORIDE,1.6 mg/1 mL,,71266-8604-1,"1 mL in 1 SYRINGE, PLASTIC (71266-8604-1) ",2023-2
72627-2421,HUMAN COMPOUNDED DRUG,Methylcobalamin,Methylcobalamin,INJECTION,INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Empower Pharmacy,METHYLCOBALAMIN,1 mg/1 mL,,72627-2421-1,"10 mL in 1 VIAL, MULTI-DOSE (72627-2421-1) ",2023-1
70168-0020,HUMAN COMPOUNDED DRUG,Testo25mg,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,25 mg,CIII,70168-0020-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0020-1) ",2023-2
72682-3718,HUMAN COMPOUNDED DRUG,Estradiol 18mg,Estradiol 18mg,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),AnazaoHealth Corporation,ESTRADIOL,18 mg/18 mg,,72682-3718-1,1 mg in 1 VIAL (72682-3718-1) ,2023-2
26436-5541,HUMAN COMPOUNDED DRUG,boric acid vaginal,boric acid,CAPSULE,VAGINAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,BORIC ACID,600 mg,,26436-5541-1,1 CAPSULE in 1 CONTAINER (26436-5541-1) ,2024-1
70713-036,HUMAN COMPOUNDED DRUG,PROGESTERONE SA2 50MG,PROGESTERONE SA2 50MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wells Pharmacy, Inc",PROGESTERONE,50 mg,,70713-036-01,"1 PELLET, IMPLANTABLE in 1 BLISTER PACK (70713-036-01) ",2023-2
70713-056,HUMAN COMPOUNDED DRUG,ESTRADIOL 10MG,ESTRADIOL 10MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wells Pharmacy, Inc",ESTRADIOL,10 mg,,70713-056-01,"1 PELLET, IMPLANTABLE in 1 BLISTER PACK (70713-056-01) ",2023-2
72682-8060,HUMAN COMPOUNDED DRUG,Testosterone 60mg Pellet,Testosterone 60mg Pellet,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),AnazaoHealth Corporation,TESTOSTERONE,60 mg/60 mg,CIII,72682-8060-1,1 mg in 1 VIAL (72682-8060-1) ,2023-1
79559-1012,HUMAN COMPOUNDED DRUG,S-T012.5,S-T012.5,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),F. H. Investments. Inc. DBA Asteria Health,TESTOSTERONE,12.5 mg/12.5 mg,CIII,79559-1012-1,"12.5 mg in 1 VIAL, PLASTIC (79559-1012-1) ",2024-1
69761-121,HUMAN COMPOUNDED DRUG,Estradiol 12.5 mg,Estradiol 12.5 mg,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Qualgen LLC,ESTRADIOL,12.5 mg,,69761-121-01,"1 PELLET, IMPLANTABLE in 1 VIAL (69761-121-01) ",2023-2
70092-441,HUMAN COMPOUNDED DRUG,Fent2mcg/mL-Rop0.1% PF200mlNS CADD-YFSFF,Fent2mcg/mL-Rop0.1% PF200mlNS CADD-YFSFF,INJECTION,EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",FENTANYL CITRATE; ROPIVACAINE HYDROCHLORIDE,400 ug/200 mL; 200 mg/200 mL,CII,70092-441-76,200 mL in 1 CARTRIDGE (70092-441-76) ,2023-1
73013-1025,HUMAN COMPOUNDED DRUG,Fentanyl Citrate 200mcg- Bupivacaine HCl 62.5mg added to 250mL NS bag,"fentanyl citrate, bupivacaine hydrochloride","INJECTION, SOLUTION",EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),OurPharma LLC,FENTANYL CITRATE; BUPIVACAINE HYDROCHLORIDE,2 ug/1 mL; .625 mg/1 mL,CII,73013-1025-1,100 mL in 1 BAG (73013-1025-1) ,2023-1
70092-563,HUMAN COMPOUNDED DRUG,Ketamine 10 mg/ml in 2 ml NS- 3 ml syr,Ketamine 10 mg/ml in 2 ml NS- 3 ml syr,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",KETAMINE HYDROCHLORIDE,20 mg/2 mL,CIII,70092-563-43,2 mL in 1 SYRINGE (70092-563-43) ,2023-2
70092-119,HUMAN COMPOUNDED DRUG,Ketamine 10 mg/ml in 5ml NS syr,Ketamine 10 mg/ml in 5ml NS syr,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",KETAMINE HYDROCHLORIDE,50 mg/5 mL,CIII,70092-119-44,5 mL in 1 SYRINGE (70092-119-44) ,2023-2
73702-202,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,FENTANYL,10 ug/1 mL,CII,73702-202-02,100 mL in 1 BAG (73702-202-02) ,2023-2
73177-102,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,FENTANYL CITRATE,10 ug/1 mL,CII,73177-102-27,100 mL in 1 BAG (73177-102-27) ,2023-2
73177-102,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,FENTANYL CITRATE,10 ug/1 mL,CII,73177-102-05,"50 mL in 1 SYRINGE, PLASTIC (73177-102-05) ",2023-2
26436-5483,HUMAN COMPOUNDED DRUG,ACH,Ampotericin/ Chloramphenicol/ HC,POWDER,AURICULAR (OTIC),OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,HYDROCORTISONE; AMPHOTERICIN B; CHLORAMPHENICOL,10 mg/1 g; 50 mg/1 g; 500 mg/1 g,,26436-5483-1,10 g in 1 JAR (26436-5483-1) ,2024-1
71449-124,HUMAN COMPOUNDED DRUG,Ropivacaine Hydrochloride,Ropivacaine Hydrochloride,"INJECTION, SOLUTION",INFILTRATION,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Denver Solutions, LLC dba Leiters Health",ROPIVACAINE HYDROCHLORIDE,2 mg/1 mL,,71449-124-91,1 BAG in 1 BAG (71449-124-91)  > 1000 mL in 1 BAG,2022-2
71285-0427,HUMAN COMPOUNDED DRUG,Trophamine 3% / Dextrose 5% With Calcium Gluconate 3.75mEq and Heparin 125 units 250ml in 250ml bag,Trophamine 3% / Dextrose 5% With Calcium Gluconate 3.75mEq and Heparin 125 units 250ml in 250ml bag,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",VALINE; CALCIUM GLUCONATE MONOHYDRATE; HEPARIN SODIUM; GLUTAMIC ACID; LYSINE ACETATE; SERINE; TYROSINE; N-ACETYLTYROSINE; THREONINE; CYSTEINE HYDROCHLORIDE; HISTIDINE; ARGININE; TAURINE; DEXTROSE MONOHYDRATE; LEUCINE; METHIONINE; PROLINE; ASPARTIC ACID; ISOLEUCINE; ALANINE; GLYCINE; PHENYLALANINE; TRYPTOPHAN,.585 g/250 mL; 2.33 meq/250 mL; 125 U/250 mL; .375 g/250 mL; .9 g/250 mL; .285 g/250 mL; .033 g/250 mL; .18 g/250 mL; .315 g/250 mL; .018 g/250 mL; .36 g/250 mL; .9 g/250 mL; .01875 g/250 mL; 12.5 g/250 mL; 1.05 g/250 mL; .255 g/250 mL; .51 g/250 mL; .24 g/250 mL; .615 g/250 mL; .405 g/250 mL; .27 g/250 mL; .36 g/250 mL; .15 g/250 mL,,71285-0427-1,250 mL in 1 BAG (71285-0427-1) ,2023-1
65302-504,HUMAN COMPOUNDED DRUG,Succinylcholine Chloride,Succinylcholine Chloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),The Ritedose Corporation,SUCCINYLCHOLINE CHLORIDE,20 mg/1 mL,,65302-504-10,10 mL in 1 SYRINGE (65302-504-10) ,2023-1
73177-106,HUMAN COMPOUNDED DRUG,Midazolam,Midazolam,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,MIDAZOLAM,1 mg/1 mL,CIV,73177-106-05,"50 mL in 1 SYRINGE, PLASTIC (73177-106-05) ",2023-1
83826-9012,HUMAN COMPOUNDED DRUG,Atropine Sulfate Monohydrate,Atropine Sulfate Monohydrate 0.05%,SOLUTION,OPHTHALMIC; TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"OSRX, Inc.",ATROPINE SULFATE,.5 mg/1 mL,,83826-9012-3,"3.5 mL in 1 BOTTLE, DROPPER (83826-9012-3) ",2024-1
71170-185,HUMAN COMPOUNDED DRUG,Vancomycin 1.5g added to 500mL of 0.9% Sodium Chloride,Vancomycin 1.5g added to 500mL of 0.9% Sodium Chloride,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Apollo Care, LLC",VANCOMYCIN HYDROCHLORIDE,3 mg/1 mL,,71170-185-50,500 mL in 1 BAG (71170-185-50) ,2024-1
71266-6670,HUMAN COMPOUNDED DRUG,Sodium Citrate and Gentamicin Solution,Sodium Citrate and Gentamicin Solution,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,TRISODIUM CITRATE DIHYDRATE; GENTAMICIN SULFATE,40 mg/1 mL; .32 mg/1 mL,,71266-6670-1,30 mL in 1 VIAL (71266-6670-1) ,2024-1
71266-5035,HUMAN COMPOUNDED DRUG,Hydromorphone HCl,Hydromorphone HCl,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,HYDROMORPHONE HYDROCHLORIDE,.2 mg/1 mL,CII,71266-5035-1,100 mL in 1 BAG (71266-5035-1) ,2024-1
72055-009,HUMAN COMPOUNDED DRUG,Norepinephrine Bitartrate,Norepinephrine Bitartrate,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Baycare Integrated Service Center, LLC /dba BayCare Central Pharmacy",NOREPINEPHRINE BITARTRATE,16 mg/250 mL,,72055-009-01,250 mL in 1 BAG (72055-009-01) ,2024-1
71286-6004,HUMAN COMPOUNDED DRUG,Ephedrine 10mg/ml in NS,Ephedrine 10mg/ml in NS,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",EPHEDRINE SULFATE,10 mg/1 mL,,71286-6004-1,5 mL in 1 SYRINGE (71286-6004-1) ,2023-2
71139-0190,HUMAN COMPOUNDED DRUG,Vasopressin,Vasopressin,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"IntegraDose Compounding Services, LLC","VASOPRESSIN, UNSPECIFIED",2 U/2 mL,,71139-0190-1,2 mL in 1 SYRINGE (71139-0190-1) ,2024-1
